T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
7217, 847, -238, 652, -7840, -18970, 9100
7237, 935, -328, 704, -9450, -23450, 15050
7257, 962, -388, 706, -6020, -27860, 17710
7277, 927, -419, 685, -6860, -14560, 12600
7297, 918, -449, 703, -11410, -2310, 5600
7317, 983, -460, 759, -18340, -6860, 4620
7337, 1018, -483, 669, -24080, -17780, 4760
7357, 1062, -445, 735, -28980, -21210, 1190
7377, 1025, -456, 704, -41790, -11760, -10780
7397, 909, -395, 757, -49280, 4900, -24640
7417, 864, -306, 727, -57680, 23450, -39480
7437, 850, -279, 674, -71190, 16520, -47040
7457, 750, -256, 672, -79730, 11340, -54740
7477, 757, -189, 658, -85750, 13650, -63210
7497, 776, -122, 753, -92610, 12040, -69300
7517, 752, -56, 767, -138670, -8190, -77070
7537, 676, -17, 711, -145670, -11130, -88480
7557, 611, 12, 643, -148960, 1330, -98700
7577, 578, 114, 624, -158130, 2170, -103600
7597, 597, 212, 694, -166250, -14280, -101920
7617, 728, 264, 781, -179900, -45570, -98210
7637, 774, 432, 880, -187600, -38150, -108360
7657, 715, 466, 631, -175980, -22890, -122150
7677, 605, 431, 356, -167090, -17780, -130060
7697, 540, 515, 318, -173810, -22750, -134610
7717, 493, 635, 395, -175350, -33180, -135450
7737, 492, 766, 546, -176750, -28560, -134890
7757, 590, 718, 547, -194950, -29680, -133770
7777, 299, 933, 1041, -223440, -46760, -141890
7797, 316, 1145, 1217, -196630, -38570, -154070
7817, 499, 1003, 1037, -160650, -48020, -136080
7837, 552, 898, 866, -108920, -17990, -107100
7857, 441, 826, 752, -71610, 17850, -98420
7877, 419, 805, 694, -37870, 12040, -89740
7897, 528, 762, 665, -16450, 2730, -68250
7917, 641, 694, 575, -10780, -9170, -42000
7937, 634, 648, 488, -2590, -13300, -24430
7957, 595, 607, 412, 5390, -2940, -17010
7977, 561, 672, 529, 7000, -2730, 1190
7997, 625, 601, 504, 10500, -12390, 17780
8017, 703, 651, 564, 16660, -16450, 28980
8037, 671, 608, 548, 22610, -13720, 29960
8057, 601, 640, 633, 19250, 0, 27720
8077, 619, 666, 688, 29120, -9310, 34860
8097, 636, 684, 731, 29260, -12880, 46690
8117, 708, 677, 717, 36960, -16100, 55160
8137, 652, 678, 614, 43890, -1610, 55790
8157, 527, 708, 610, 40810, 15260, 57820
8177, 457, 716, 696, 29330, 13160, 67900
8197, 582, 620, 671, 25970, -1540, 88690
8217, 660, 608, 761, 52570, -15120, 111160
8237, 746, 518, 663, 80430, -3430, 121310
8257, 731, 476, 651, 88130, 4900, 126280
8277, 778, 412, 703, 85890, 11970, 134190
8297, 773, 325, 645, 77840, 700, 144060
8317, 841, 272, 746, 96460, -7350, 154700
8337, 952, 178, 615, 116550, -8960, 155890
8357, 946, 147, 534, 140980, -18410, 149030
8377, 881, 132, 545, 146650, -2590, 140770
8397, 755, 172, 583, 146860, -7910, 132090
8417, 739, 159, 543, 145950, -19670, 120820
8437, 672, 136, 538, 124390, -27230, 113330
8457, 705, 61, 544, 114870, -37240, 114730
8477, 880, -40, 565, 118860, -27300, 111580
8497, 760, -169, 475, 122150, -13720, 97510
8517, 693, -314, 444, 121730, -7420, 83580
8537, 759, -510, 451, 100870, -17500, 76860
8557, 846, -729, 500, 72240, -26810, 69790
8577, 895, -841, 602, 46970, -40250, 54460
8597, 709, -836, 677, 24710, -40110, 30520
8617, 652, -893, 445, 26880, -7070, 6720
8637, 589, -832, 424, 27370, 32270, -10150
8657, 867, -787, 620, 10920, 32270, -7700
8677, 886, -700, 836, -6230, -28420, 0
8697, 786, -593, 750, 8540, -43050, -11760
8717, 724, -544, 497, 31430, -10150, -23030
8737, 905, -464, 568, 28560, 37870, -21700
8757, 997, -425, 563, 17570, 25620, -7700
8777, 976, -358, 587, 6300, -1540, 910
8797, 925, -266, 599, -70, -18060, 490
8817, 921, -243, 532, -280, -23800, -1050
8837, 987, -202, 457, 3220, -16590, -490
8857, 1021, -184, 424, 3850, -8260, 1540
8877, 1043, -157, 440, 1610, -14910, 3360
8897, 1014, -100, 486, -4830, -30800, -7140
8917, 956, -72, 460, 1680, -26670, -15610
8937, 884, -16, 441, 15260, -11760, -23380
8957, 805, 21, 403, 24710, -8680, -26880
8977, 764, 42, 385, 28140, -12250, -26180
8997, 711, 51, 282, 27860, -18200, -25760
9017, 659, 109, 286, 29960, -20860, -26670
9037, 578, 124, 251, 26600, -22540, -25130
9057, 522, 109, 203, 25620, -26040, -20790
9077, 550, 97, 213, 25550, -25060, -14910
9097, 563, 76, 233, 29680, -22470, -10010
9117, 529, 2, 210, 35350, -17920, -11550
9137, 444, -5, 216, 42630, -20930, -17500
9157, 429, -11, 229, 47180, -30380, -20370
9177, 400, 48, 223, 43960, -32270, -21840
9197, 259, 70, 177, 42140, -7000, -28560
9217, 67, 66, 160, 43190, 34020, -40880
9237, 29, 32, 172, 48510, 55370, -39270
9257, 52, -10, 163, 38920, 42070, -24220
9277, 25, -42, 96, 26040, 34650, -11620
9297, -76, -77, 43, 13230, 61040, -14420
9317, -165, -136, 88, 11690, 88620, -24500
9337, 31, -199, 208, -12460, 83440, -1610
9357, 51, -261, 182, -21420, 92610, 4130
9377, 94, -239, 589, -50190, 129360, 5810
9397, 712, -248, 1172, -88760, 119910, 27440
9417, 1295, -387, 1298, -98070, 110530, 50190
9437, 1501, -322, 1491, -92120, 140000, 37170
9457, 1674, -100, 1844, -95410, 160720, 14630
9477, 1756, 31, 1845, -107380, 145740, 13020
9497, 1740, 85, 1665, -103670, 124460, 21840
9517, 1820, 36, 1499, -92050, 89040, 35140
9537, 1743, -4, 1364, -74410, 66850, 37660
9557, 1556, 26, 1357, -70770, 73010, 27160
9577, 1158, -117, 1312, -61180, 63980, 11270
9597, 1070, -38, 1294, -38290, 50610, 1610
9617, 960, -57, 1273, -30660, 23240, -1680
9637, 835, -103, 1174, -25480, 3570, -910
9657, 831, -148, 1103, -14980, -7140, 3290
9677, 823, -196, 943, -13650, -17010, 7840
9697, 812, -197, 890, -10430, -16940, 10220
9717, 789, -188, 818, -3430, -24290, 14700
9737, 729, -159, 824, -3780, -21630, 14070
9757, 652, -155, 812, -1960, -9940, 7210
9777, 602, -149, 821, 2240, -9100, 2450
9797, 684, -177, 788, 5530, -24640, 11480
9817, 696, -198, 758, 3010, -25410, 11900
9837, 677, -171, 781, 3710, -20230, 840
9857, 504, -148, 800, 210, -9730, -11200
9877, 443, -124, 836, 910, -2520, -12040
9897, 458, -137, 827, -2100, -5460, -1960
9917, 532, -155, 849, -2660, -9800, 6090
9937, 587, -158, 864, 210, -16940, 11550
9957, 620, -143, 909, -420, -16030, 15190
9977, 650, -178, 941, 1610, -16520, 19110
9997, 813, -210, 993, -2450, -11970, 25410
10017, 990, -241, 1018, -4130, -6090, 33600
10037, 1045, -269, 1077, 280, -2730, 32550
10057, 1185, -341, 1128, 13370, -6860, 28490
10077, 1515, -432, 1211, 32620, -35630, 26180
10097, 1669, -539, 1089, 59360, -66500, 19600
10117, 1486, -429, 1138, 61180, -82670, 2730
10137, 1301, -325, 1192, 36540, -76860, -25130
10157, 1272, -279, 1203, 27090, -70840, -37730
10177, 1253, -175, 1232, 21420, -56070, -37380
10197, 1105, -140, 1156, 25480, -59640, -35070
10217, 1191, -83, 1143, 20860, -76930, -19740
10237, 1233, -64, 1141, 14630, -98910, -3640
10257, 1112, -126, 1092, 23310, -94220, -7490
10277, 830, -110, 965, 27860, -92120, -22190
10297, 644, -92, 824, 17220, -102060, -28700
10317, 357, -73, 635, -630, -111580, -36330
10337, 126, -2, 536, -11480, -111720, -49070
10357, -37, 28, 273, -11060, -115500, -58380
10377, -170, 77, -22, 280, -85120, -69720
10397, -258, 188, -86, 8680, -49000, -75670
10417, -142, 197, -29, 10990, -40670, -62230
10437, 118, 154, 126, -1330, -62370, -34090
10457, 246, 115, 138, -11550, -81130, -16590
10477, 318, 105, 161, -7770, -70210, -14630
10497, 386, 107, 189, -4550, -44590, -16310
10517, 459, 112, 215, -4340, -32200, -15890
10537, 579, 90, 241, -4970, -33110, -11620
10557, 652, 75, 268, -7420, -39130, -6230
10577, 659, 97, 276, -3220, -35350, -7980
10597, 580, 117, 224, -140, -19600, -15400
10617, 530, 123, 157, -2590, -6090, -21140
10637, 508, 116, 154, -4900, 280, -22610
10657, 512, 91, 153, -2940, 7350, -18410
10677, 472, 62, 161, -2730, 7070, -12880
10697, 473, -6, 164, -1750, 7140, -9940
10717, 370, -46, 126, 2590, 25620, -11690
