,AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
238,499,-1194,-370,34370,-63070,161840
239,469,-1144,-337,39480,-62930,165060
240,433,-1088,-277,63700,-49910,172760
241,407,-1035,-248,75670,-29820,157360
242,406,-996,-258,51030,-37730,139790
243,405,-972,-268,39340,-37800,127680
244,394,-951,-249,46550,-25060,122360
245,369,-923,-212,54950,-9170,116270
246,352,-889,-201,48230,-1610,104160
247,342,-851,-204,30030,1260,83510
248,334,-807,-191,17850,12530,57260
249,318,-767,-168,16520,30940,34930
250,302,-731,-139,15890,45990,19320
251,290,-719,-122,7000,52150,6930
252,292,-742,-134,-13370,46970,-5250
253,308,-787,-159,-37870,38850,-22260
254,343,-853,-195,-56560,39410,-46970
255,382,-931,-230,-66850,47040,-71260
256,414,-1014,-266,-70000,54670,-85680
257,427,-1089,-300,-66430,60550,-90160
258,424,-1140,-326,-57750,67340,-95130
259,419,-1139,-305,-45360,85120,-118790
260,427,-1122,-285,-33390,108080,-157640
261,453,-1128,-289,-32060,114660,-188930
262,482,-1192,-335,-37100,101430,-197260
263,503,-1307,-390,-38640,77140,-183960
264,512,-1356,-413,-30870,61320,-173950
265,491,-1291,-388,-14210,65030,-185290
266,453,-1150,-319,5810,76790,-206920
267,411,-1013,-250,25480,81550,-218610
268,384,-938,-209,38290,69650,-210070
269,376,-901,-195,39130,46830,-192360
270,379,-890,-207,27650,19950,-176680
271,384,-880,-221,13580,-5040,-161560
272,375,-849,-216,8960,-19530,-145320
273,355,-802,-186,17080,-21350,-127960
274,337,-753,-153,31430,-15890,-110390
275,323,-701,-132,35630,-19460,-75180
276,318,-665,-127,26600,-29750,-53480
277,318,-645,-122,20580,-37030,-27650
278,330,-657,-118,17640,-42560,4620
279,354,-712,-137,12250,-55020,47740
280,369,-821,-181,2940,-75600,97370
281,393,-939,-249,-5180,-91770,135100
282,421,-1030,-305,-3010,-87220,145880
283,441,-1054,-298,15330,-56420,132230
284,451,-1019,-265,33530,-25550,117530
285,447,-999,-253,38220,-22680,129430
286,440,-1027,-269,37870,-41160,166810
287,446,-1100,-300,37100,-59500,201180
288,468,-1199,-327,37730,-63350,212380
289,509,-1272,-376,32900,-59570,201880
290,535,-1288,-407,24080,-56140,184520
